iter	Passed	Remaining
0	11	11883
1	22	11379
2	33	11102
3	44	10990
4	54	10929
5	65	10889
6	76	10878
7	86	10776
8	97	10738
9	107	10688
10	118	10634
11	128	10558
12	139	10570
13	150	10583
14	160	10557
15	171	10520
16	181	10502
17	191	10471
18	202	10453
19	213	10459
20	224	10464
21	235	10461
22	245	10434
23	255	10407
24	266	10403
25	277	10381
26	287	10364
27	298	10345
28	308	10338
29	319	10322
30	329	10308
31	340	10296
32	351	10293
33	362	10294
34	373	10300
35	384	10294
36	399	10406
37	411	10404
38	421	10387
39	432	10378
40	443	10369
41	453	10354
42	465	10350
43	475	10329
44	485	10306
45	496	10292
46	506	10274
47	517	10254
48	528	10249
49	538	10236
50	549	10218
51	560	10211
52	570	10194
53	581	10183
54	592	10173
55	602	10156
56	613	10148
57	624	10145
58	635	10129
59	645	10116
60	656	10103
61	666	10090
62	677	10079
63	688	10064
64	697	10040
65	709	10035
66	720	10027
67	730	10018
68	741	10001
69	751	9987
70	762	9976
71	773	9965
72	784	9959
73	794	9942
74	804	9927
75	815	9920
76	826	9911
77	837	9895
78	848	9889
79	859	9884
80	870	9871
81	881	9868
82	894	9877
83	910	9932
84	921	9923
85	932	9909
86	943	9897
87	954	9892
88	965	9882
89	976	9872
90	987	9863
91	998	9850
92	1009	9842
93	1020	9832
94	1031	9822
95	1042	9813
96	1052	9799
97	1065	9803
98	1075	9791
99	1086	9778
100	1097	9769
101	1108	9760
102	1122	9773
103	1133	9766
104	1144	9753
105	1155	9744
106	1166	9734
107	1176	9721
108	1187	9711
109	1199	9701
110	1210	9691
111	1221	9681
112	1231	9669
113	1242	9660
114	1253	9646
115	1264	9636
116	1276	9630
117	1286	9618
118	1297	9606
119	1308	9597
120	1319	9586
121	1330	9576
122	1340	9561
123	1352	9553
124	1363	9541
125	1373	9528
126	1387	9539
127	1407	9587
128	1420	9589
129	1432	9588
130	1442	9570
131	1453	9557
132	1464	9548
133	1475	9535
134	1486	9522
135	1496	9507
136	1506	9487
137	1516	9473
138	1526	9458
139	1537	9443
140	1548	9431
141	1558	9419
142	1569	9407
143	1580	9393
144	1590	9380
145	1601	9366
146	1612	9355
147	1623	9343
148	1633	9329
149	1644	9319
150	1655	9307
151	1666	9295
152	1676	9282
153	1687	9270
154	1697	9255
155	1707	9239
156	1718	9228
157	1729	9215
158	1739	9200
159	1749	9185
160	1759	9169
161	1770	9156
162	1780	9142
163	1790	9127
164	1801	9114
165	1810	9097
166	1821	9084
167	1832	9074
168	1842	9061
169	1852	9045
170	1863	9033
171	1873	9018
172	1883	9004
173	1894	8993
174	1905	8980
175	1915	8967
176	1925	8953
177	1935	8940
178	1946	8927
